Title,Image URL,Description
Criminal,https://es.web.img3.acsta.net/c_310_420/pictures/16/03/22/10/23/369365.jpg,"Jericho Stewart (Kevin Costner) es un peligroso e impredecible criminal con un subdesarrollo cerebral que hace que sea el sujeto perfecto para convertirse en el primer humano que pruebe un nuevo tratamiento del Dr. Micah Franks (Tommy Lee Jones). Así, a Stewart le implantan las habilidades, secretos y recuerdos de un agente de la CIA muerto. Ahora tendrá que proteger estos conocimientos a toda costa mientras intenta finalizar con éxito la peligrosa misión. Criminal está dirigida por Ariel Vromen (Rx. Al límite del riesgo). Forman parte del reparto Kevin Costner (Jack Ryan: Operación sombra, El Hombre de Acero), Gary Oldman (El amanecer del planeta de los simios, Robocop), Tommy Lee Jones (Lincoln, Men In Black 3), Ryan Reynolds (The Captive, R. I. P. D. Departamento de policía mortal), Alice Eve (Star Trek: En la oscuridad, Men In Black 3), Gal Gadot (Fast & Furious 6, Batman v Superman: el Amanecer de la Justicia) y Antje Traue (El Hombre de Acero, Pandorum)."
"El Padrino, epílogo: La muerte de Michael Corleone",https://es.web.img3.acsta.net/c_310_420/pictures/20/11/13/09/40/3478562.jpg,"Michael Corleone (Al Pacino) ya tiene 60 años, y solo quiere proteger a su familia del crimen que les rodea y encontrar al mejor sucesor para su emporio. Ese podría ser el vehemente Vincent (Andy García), pero también podría ser la chispa que convertiría la esperanza de Michael de tener una empresa legítima en un infierno de violencia. De la mano de Francis Ford Coppola llega este nuevo montaje de la última parte de la épica trilogía, basada en las novelas de Mario Puzo, El Padrino, epílogo: La muerte de Michael Corleone, que incluye un nuevo comienzo y final, así como cambios en algunas escenas, planos y alguna pista musical. La nueva edición refleja las intenciones originales de Mario Puzo y Coppola sobre El Padrino: Parte III. Además la imagen y el sonido de la película han sido meticulosamente restaurados bajo la supervisión de American Zoetrope y Paramount Pictures."
Seven,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/69/04/89/19757783.jpg,"Somerset es un veterano detective que se encuentra a punto de jubilarse y que conoce al joven policia Mills. Juntos deberán investigar el asesinato de un hombre obeso que ha sido atado y obligado a comer hasta la muerte. Los crímenes se suceden mientras los dos detectives muestran sus talantes opuestos, uno paciente y racional, y el joven más impetuoso. Pronto averiguan que los crímenes son obra de la misma persona, ya que ésta deja numerosas anotaciones procedentes de diversas lecturas que ha ido realizando de una serie de libros de temática religiosa. De este modo, Somerset y Mills no tardan mucho en descubrir que la serie de asesinatos está inspirada en los siete pecados capitales: cada uno de los muertos había incurrido en éste u otro pecado, y había sufrido un terrible castigo en consonancia. La pareja de detectives, pese a sus grandes diferencias, tendrá que trabajar duro para conseguir detener a un asesino fanático y meticuloso que siempre parece ir un paso por delante de ellos, pues los asesinatos no dejan de sucederse y la lista de pecados se va acortando dramáticamente."
Pulp Fiction,https://es.web.img3.acsta.net/c_310_420/img/05/66/05663f00b8b5df58b003aaf5c46ef8ad.jpg,"Jules Winnfield (Samuel L. Jackson, Jackie Brown) y Vincent Vega (John Travolta, Grease) son dos asesinos a sueldo que trabajan a las órdenes del temido gángster Marsellus Wallace (Ving Rhames, Amanecer de los muertos), quien les encarga la importante misión de recuperar su misterioso maletín, que ha sido robado. Ahí empezarán todos sus problemas. Los dos criminales son polos opuestos que deberán trabajar juntos para cumplir su cometido. De forma paralela, Vincent tendrá que hacerse cargo de Mia Wallace (Uma Thurman, Kill Bill), la peculiar novia de su jefe, a petición del mismo, mientras él pasa unos días fuera de la ciudad. Su compañero Jules le recomienda que vaya con cautela, pues la atractiva mujer le puede meter en problemas. Mientras, el boxeador Butch Coolidge (Bruce Willis, El sexto sentido) debe perder una importante pelea, pues ha sido sobornado por Wallace para participar en este combate amañado, y la pareja formada por Pumpkin/Ringo (Tim Roth, Reservoir Dogs) y Honey Bunny/Yolanda (Amanda Plummer, Mi vida sin mí) decidirá atracar un establecimiento debido a su lamentable situación laboral."
El Padrino. Parte II,https://es.web.img3.acsta.net/c_310_420/pictures/210/575/21057545_2013111318304486.jpg,"Tras la muerte de Don Vito Corleone (Marlon Brando), su hijo Michael (Al Pacino, 'Jack y su gemela') se convierte en el cabeza de familia. Al tener que negociar con la mafia judía, pierde el apoyo de uno de sus hombres, Frankie Pentageli (Michael V. Gazzo, 'El último gran héroe'). Tras escapar por los pelos de un atentado, Michael trata de encontrar al culpable, siendo su mayor sospechoso Hyman Roth (Lee Strasberg, 'El Padrino. Parte III'), el jefe de la mafia judía. Vito Corleone -que en su etapa de juventud interpreta Robert De Niro ('Luces rojas')-, inmigrante italiano, llegó a Nueva York a principios de siglo; rápidamente, se convirtió en uno de los cabecillas del barrio usando la violencia como medio para solucionar cualquier asunto. Solo en sus primeros años levantó un verdadero imperio, origen de la fortuna de la familia Corleone. Segunda entrega de la exitosa saga de Francis Ford Coppola ('Apocalypse Now', Legítima defensa'), considerada como la mejor secuela de todos los tiempos."
La chica de nieve,https://es.web.img2.acsta.net/c_310_420/pictures/23/01/18/14/16/2286681.jpg,"Málaga, 2010. Durante la cabalgata de Reyes Magos, la pequeña Amaya Martín desaparece entre la multitud, sumiendo a su familia en una pesadilla. Miren, una periodista en prácticas, inicia una investigación paralela a la de la inspectora Millán, desenterrando un trauma de su pasado. Con el apoyo de Eduardo, un veterano periodista, Miren se obsesiona con hallar a la niña, adentrándose en un oscuro laberinto de secretos y mentiras."
Reacher,https://es.web.img2.acsta.net/c_310_420/pictures/21/12/03/10/38/4833003.jpg,"Reacher es una serie dramática de acción basada en el personaje creado por el escritor británico Lee Child, autor de la saga de novelas súperventas protagonizada por Jack Reacher. Cuando el veterano del ejército de los Estados Unidos Jack Reacher es arrestado por un homicidio que no cometió, pronto se dará cuenta de que está involucrado en una conspiración. Conforme más víctimas van siendo descubiertas, Reacher dedicará todas sus fuerzas a intentar demostrar su inocencia y a buscar respuestas a esa conspiración. Mientras el peligro aumenta, Reacher tendrá que echar mano de su experiencia e inteligencia para sortear las trampas que le irán tendiendo. Será una difícil misión, ya que esa conspiración mortal está plagada de policías corruptos, además de empresarios y políticos con turbias intenciones."
Ley y orden: Unidad de víctimas especiales,https://es.web.img2.acsta.net/c_310_420/pictures/14/02/07/12/04/285360.jpg,"Esta serie, creada y producida por Dick Wolf ('Ley y orden', 'Corrupción en Miami'), es la primera y más importante secuela de la exitosa 'Ley y orden', que se convirtió en una de las series más longevas de la televisión -tan solo superada por 'Los Simpson'. En el 'spin-off', y a través del trabajo que realiza la Unidad de Víctimas Especiales, se narran los diferentes crímenes y asesinatos que tienen lugar en la ciudad de Nueva York. Al mando de esta unidad, cuyo principal objetivo son los casos de crímenes sexuales y abuso infantil, se encuentran los experimentados detectives Elliot Stabler (Christopher Meloni, 'Novia a la fuga', 'Dos colgaos muy fumaos', 'True Blood'), John Munch (Richard Belzer, 'Lois y Clark', 'Homicidio', 'Arrested Development') y sus compañeros Olivia Benson (Mariska Hargitay, 'Urgencias') y Brian Cassidy (Dean Winters, 'Rescue Me'). Esta brigada se enfrentará a depravados sexuales, maniáticos, asesinos y violadores en serie. La serie ahonda en la vida privada de los personajes y en su forma de ser. Además, también racoge cómo influye su tarea laboral a su espacio íntimo. La serie tiene un carácter procedimental y es considerada una de las mejores en la gestión del suspense. Cuenta con una estructura que abre cada episodio con un nuevo caso y lo termina con la resolución del mismo. En esto se parece a otros títulos del género como 'Bones', 'CSI', 'Castle', 'Sin Rastro' o 'Mentes Criminales'."
Día cero,https://es.web.img3.acsta.net/c_310_420/img/77/27/77273e40303e36f9130506ea320ed3a0.jpg,"Tras un ciberataque sin precedentes que paraliza infraestructuras clave de EE. UU., el expresidente George Mullen es convocado para liderar un comité de crisis. Su misión: identificar a los responsables y evitar una nueva ofensiva. Mientras la nación exige respuestas, las pistas lo conducen a un dilema inquietante: ¿es obra de una potencia extranjera o un enemigo interno? Entre presiones políticas, traiciones y una carrera contrarreloj, Mullen deberá descifrar la verdad antes de que el próximo ataque sea irreversible."
Élite,https://es.web.img3.acsta.net/c_310_420/pictures/18/09/11/09/24/3649571.jpg,"Élite es una producción española para Netflix en la que su historia se desarrolla en Las Encinas, un colegio exclusivo del país. Allí acuden a estudiar los hijos de la élite. Un día, la ciudad sufre un gran terremoto que destruye el colegio público y los alumnos se ven obligados a ser repartidos por otras escuelas de la localidad.  Tres jóvenes de clase obrera, Samuel, Nadia y Christian, son admitidos en Las Encinas, en ese momento la lucha por las diferencias de clases comienzan hasta acabar con un asesinato. Todos se preguntan quién ha podido cometer el crimen. Marina es una joven que decide ser amiga de los recién llegados, teniendo una especial relación con Samuel, cuyos actos son motivados por la honestidad y la honradez. Christian es muy diferente, la fiesta es su día a día y sus estrictos padres quieren alejarle de ello para que estudie y enfoque su vida. Si hay alguien que tiene claro su futuro es Nadia, cuyos padres son musulmanes y dueños de una tienda de alimentación y tiene claro que la educación es la mejor vía para llegar a ser diplomática o traductora en la ONU."
