Title,Link,Image URL
CSI: Miami,https://www.sensacine.com/series/serie-24/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Hijos de la anarquía,https://www.sensacine.com/series/serie-3859/video-19538969/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
CSI: Las Vegas,https://www.sensacine.com/series/serie-82/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Lucifer,https://www.sensacine.com/series/serie-18145/video-19551568/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Bright Minds,https://www.sensacine.com/series/serie-24967/video-19573977/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El Cartel de los Sapos - El Origen,https://www.sensacine.com/series/serie-29608/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Fargo (2014),https://www.sensacine.com/series/serie-11042/video-19552962/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Asalto al Banco Central,https://www.sensacine.com/series/serie-35354/video-20610591/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Hawai 5.0,https://www.sensacine.com/series/serie-8082/video-19407032/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Solo Asesinatos En El Edificio,https://www.sensacine.com/series/serie-27127/video-19567917/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Narcos: Mexico,https://www.sensacine.com/series/serie-23864/video-19560324/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Better Call Saul,https://www.sensacine.com/series/serie-16950/video-19539550/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Bones,https://www.sensacine.com/series/serie-452/video-19538863/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Peaky Blinders,https://www.sensacine.com/series/serie-11303/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Hijos de la anarquía,https://www.sensacine.com/series/serie-3859/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Wire,https://www.sensacine.com/series/serie-30/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Sherlock,https://www.sensacine.com/series/serie-4528/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Better Call Saul,https://www.sensacine.com/series/serie-16950/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Lucifer,https://www.sensacine.com/series/serie-18145/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El caballero de los Siete Reinos,https://www.sensacine.com/series/serie-28230/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Alien: Planeta Tierra,https://www.sensacine.com/series/serie-27910/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Dexter: Resurrection,https://www.sensacine.com/series/serie-37286/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Dark Tower,https://www.sensacine.com/series/serie-9771/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Suits: L.A.,https://www.sensacine.com/series/serie-35365/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
The Big Bang Theory Spin-off,https://www.sensacine.com/series/serie-34377/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Machos Alfa,https://www.sensacine.com/series/serie-31439/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
El juego del calamar,https://www.sensacine.com/series/serie-29898/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
La que se avecina,https://www.sensacine.com/series/serie-5502/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Alice in Borderland,https://www.sensacine.com/series/serie-27439/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
Bones,https://www.sensacine.com/series/serie-452/video-19538863/,https://es.web.img3.acsta.net/c_310_420/pictures/14/02/17/11/13/171605.jpg
The Blacklist,https://www.sensacine.com/series/serie-11822/video-19514153/,https://es.web.img3.acsta.net/c_310_420/pictures/210/051/21005165_20130808113654378.jpg
El padrino de Harlem,https://www.sensacine.com/series/serie-22906/video-19562868/,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs="
